record_type,bank,base_currency,quote_currency,currency_pair,unit,transaction_value,amount_tier,std_transaction_value,std_amount_tier,group,effective_date,last_updated,scraped_at,tt_od_sell,tt_buy,od_buy,mid_rate
native,dbs,AED,SGD,AED/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,0.351,0.3456,,0.3483
native,dbs,AED,SGD,AED/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,0.3538,0.3428,,0.3483
native,dbs,AUD,SGD,AUD/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,0.9177,0.8951,0.8901,0.9064
native,dbs,AUD,SGD,AUD/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,0.9182,0.8946,0.8901,0.9064
native,dbs,BDT,SGD,BDT/SGD,100,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,1.0551,,,
native,dbs,BDT,SGD,BDT/SGD,100,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,1.0551,,,
native,dbs,BHD,SGD,BHD/SGD,1,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,3.4769,,,
native,dbs,BHD,SGD,BHD/SGD,1,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,3.4907,,,
native,dbs,BND,SGD,BND/SGD,1,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,1.0,1.0,0.9926,1.0
native,dbs,BND,SGD,BND/SGD,1,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,1.0,1.0,0.9926,1.0
native,dbs,CAD,SGD,CAD/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,0.93,0.9138,0.9043,0.9218999999999999
native,dbs,CAD,SGD,CAD/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,0.9332,0.9106,0.9043,0.9218999999999999
native,dbs,CHF,SGD,CHF/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,1.589,1.555,1.5533,1.572
native,dbs,CHF,SGD,CHF/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,1.5898,1.5542,1.5533,1.572
native,dbs,CNH,SGD,CNH/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,0.192,0.1872,,0.1896
native,dbs,CNH,SGD,CNH/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,0.1927,0.1865,,0.1896
native,dbs,CNY,SGD,CNY/SGD,1,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,0.1899,,,
native,dbs,CNY,SGD,CNY/SGD,1,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,0.1916,,,
native,dbs,DKK,SGD,DKK/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,0.2009,0.195,0.192,0.19795000000000001
native,dbs,DKK,SGD,DKK/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,0.2013,0.1946,0.192,0.19795000000000001
native,dbs,EUR,SGD,EUR/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,1.4943,1.4655,1.4566,1.4799
native,dbs,EUR,SGD,EUR/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,1.495,1.4647,1.4566,1.4798499999999999
native,dbs,GBP,SGD,GBP/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,1.7462,1.7172,1.7001,1.7317
native,dbs,GBP,SGD,GBP/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,1.7479,1.7154,1.7001,1.7316500000000001
native,dbs,HKD,SGD,HKD/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,0.1648,0.1611,0.1592,0.16294999999999998
native,dbs,HKD,SGD,HKD/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,0.1649,0.161,0.1592,0.16294999999999998
native,dbs,HUF,SGD,HUF/SGD,100,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,0.4141,,,
native,dbs,HUF,SGD,HUF/SGD,100,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,0.4158,,,
native,dbs,ID0,SGD,ID0/SGD,100,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,,,,
native,dbs,ID0,SGD,ID0/SGD,100,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,,0.0071,,
native,dbs,IDR,SGD,IDR/SGD,100,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,0.0073,,,
native,dbs,IDR,SGD,IDR/SGD,100,SGD < 50,amtLessThan50,,,mainCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,0.0073,,,
native,dbs,IN0,SGD,IN0/SGD,100,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,,1.3329,,
native,dbs,IN0,SGD,IN0/SGD,100,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,,1.3329,,
native,dbs,INR,SGD,INR/SGD,100,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,1.3562,,,
native,dbs,INR,SGD,INR/SGD,100,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,1.367,,,
native,dbs,JPY,SGD,JPY/SGD,100,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,0.8118,0.7936,0.7901,0.8027
native,dbs,JPY,SGD,JPY/SGD,100,SGD < 50,amtLessThan50,,,mainCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,0.8126,0.7928,0.7901,0.8027
native,dbs,KRW,SGD,KRW/SGD,100,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,0.0916,,,
native,dbs,KRW,SGD,KRW/SGD,100,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,0.0916,,,
native,dbs,KWD,SGD,KWD/SGD,100,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,424.9789,,,
native,dbs,KWD,SGD,KWD/SGD,100,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,426.6548,,,
native,dbs,LKR,SGD,LKR/SGD,100,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,0.3925,,,
native,dbs,LKR,SGD,LKR/SGD,100,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,0.3925,,,
native,dbs,MM1,SGD,MM1/SGD,100,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,,,,
native,dbs,MM1,SGD,MM1/SGD,100,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,,,,
native,dbs,MMK,SGD,MMK/SGD,100,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,0.0327,,,
native,dbs,MMK,SGD,MMK/SGD,100,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,0.0327,,,
native,dbs,MUR,SGD,MUR/SGD,100,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,2.7777,,,
native,dbs,MUR,SGD,MUR/SGD,100,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,2.7886,,,
native,dbs,MXN,SGD,MXN/SGD,100,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,7.652,,,
native,dbs,MXN,SGD,MXN/SGD,100,SGD < 50,amtLessThan50,,,mainCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,7.652,,,
native,dbs,MY0,SGD,MY0/SGD,1,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,,0.3121,,
native,dbs,MY0,SGD,MY0/SGD,1,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,,0.3121,,
native,dbs,MYR,SGD,MYR/SGD,1,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,0.3167,,,
native,dbs,MYR,SGD,MYR/SGD,1,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,0.3167,,,
native,dbs,NOK,SGD,NOK/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,0.1375,0.1333,0.1301,0.13540000000000002
native,dbs,NOK,SGD,NOK/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,0.1379,0.1329,0.1301,0.1354
native,dbs,NZD,SGD,NZD/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,0.7632,0.7435,0.7364,0.75335
native,dbs,NZD,SGD,NZD/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,0.7639,0.7427,0.7364,0.7533000000000001
native,dbs,OMR,SGD,OMR/SGD,1,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,3.3479,,,
native,dbs,OMR,SGD,OMR/SGD,1,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,3.3479,,,
native,dbs,PH0,SGD,PH0/SGD,100,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,,2.071,,
native,dbs,PH0,SGD,PH0/SGD,100,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,,2.071,,
native,dbs,PHP,SGD,PHP/SGD,100,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,2.1072,,,
native,dbs,PHP,SGD,PHP/SGD,100,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,2.123,,,
native,dbs,PLN,SGD,PLN/SGD,1,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,0.3491,,,
native,dbs,PLN,SGD,PLN/SGD,1,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,0.3504,,,
native,dbs,QAR,SGD,QAR/SGD,1,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,0.359,,,
native,dbs,QAR,SGD,QAR/SGD,1,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,0.3604,,,
native,dbs,RUB,SGD,RUB/SGD,100,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,,,,
native,dbs,RUB,SGD,RUB/SGD,100,SGD < 50,amtLessThan50,,,mainCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,,,,
native,dbs,SAR,SGD,SAR/SGD,100,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,34.5371,,,
native,dbs,SAR,SGD,SAR/SGD,100,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,34.5371,,,
native,dbs,SEK,SGD,SEK/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,0.1363,0.1322,0.1285,0.13425
native,dbs,SEK,SGD,SEK/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,0.1368,0.1316,0.1285,0.13419999999999999
native,dbs,THB,SGD,THB/SGD,100,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,3.9345,3.7944,3.715,3.8644499999999997
native,dbs,THB,SGD,THB/SGD,100,SGD < 50,amtLessThan50,,,mainCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,3.9387,3.7902,3.715,3.8644499999999997
native,dbs,TND,SGD,TND/SGD,1,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,0.4464,,,
native,dbs,TND,SGD,TND/SGD,1,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,0.4464,,,
native,dbs,TWD,SGD,TWD/SGD,100,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,4.0471,,,
native,dbs,TWD,SGD,TWD/SGD,100,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,4.0511,,,
native,dbs,USD,SGD,USD/SGD,1,SGD 50 – 200,amtBtw50And200,,,mainCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,1.2897,1.2688,1.2634,1.27925
native,dbs,USD,SGD,USD/SGD,1,SGD < 50,amtLessThan50,,,mainCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,1.2906,1.2679,1.2634,1.27925
native,dbs,VND,SGD,VND/SGD,100,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,0.0051,,,
native,dbs,VND,SGD,VND/SGD,100,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,0.0051,,,
native,dbs,XAU,SGD,XAU/SGD,1,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,5637.14,5555.76,5555.76,5596.450000000001
native,dbs,XAU,SGD,XAU/SGD,1,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,5637.14,5555.76,5555.76,5596.450000000001
native,dbs,ZAR,SGD,ZAR/SGD,1,SGD 50 – 200,amtBtw50And200,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,0.0804,0.0778,,0.0791
native,dbs,ZAR,SGD,ZAR/SGD,1,SGD < 50,amtLessThan50,,,otherCurrencies,2026-08-15 06:00:00,2026-08-14 22:00:15,2026-08-15T17:52:04.791159+00:00,0.0807,0.0775,,0.0791
native,ocbc,AED,SGD,AED/SGD,100,"SGD 0 – 39,999.99",tier_1,,,fxRatesSgd,2026-08-14T07:00:15,2026-08-14T07:00:15,2026-08-15T17:52:05.312655+00:00,35.7248,33.696,,34.7104
native,ocbc,AED,SGD,AED/SGD,100,"SGD 40,000 – 100,000",tier_2,,,fxRatesSgd,2026-08-14T07:00:15,2026-08-14T07:00:15,2026-08-15T17:52:05.312655+00:00,35.7142,33.7132,,34.7104
native,ocbc,AUD,SGD,AUD/SGD,1,"SGD 0 – 39,999.99",tier_1,,,fxRatesSgd,2026-08-14T07:00:15,2026-08-14T07:00:15,2026-08-15T17:52:05.312655+00:00,0.9214,0.8922,,0.9068
native,ocbc,AUD,SGD,AUD/SGD,1,"SGD 40,000 – 100,000",tier_2,,,fxRatesSgd,2026-08-14T07:00:15,2026-08-14T07:00:15,2026-08-15T17:52:05.312655+00:00,0.9195,0.894,,0.9068
native,ocbc,BGN,SGD,BGN/SGD,100,"SGD 0 – 39,999.99",tier_1,,,fxRatesSgd,2026-08-14T07:00:15,2026-08-14T07:00:15,2026-08-15T17:52:05.312655+00:00,0.0,0.0,,0.0
native,ocbc,BGN,SGD,BGN/SGD,100,"SGD 40,000 – 100,000",tier_2,,,fxRatesSgd,2026-08-14T07:00:15,2026-08-14T07:00:15,2026-08-15T17:52:05.312655+00:00,0.0,0.0,,0.0
native,ocbc,BHD,SGD,BHD/SGD,1,"SGD 0 – 39,999.99",tier_1,,,fxRatesSgd,2026-08-14T07:00:15,2026-08-14T07:00:15,2026-08-15T17:52:05.312655+00:00,0.0,0.0,,0.0
native,ocbc,BHD,SGD,BHD/SGD,1,"SGD 40,000 – 100,000",tier_2,,,fxRatesSgd,2026-08-14T07:00:15,2026-08-14T07:00:15,2026-08-15T17:52:05.312655+00:00,0.0,0.0,,0.0
native,ocbc,CAD,SGD,CAD/SGD,1,"SGD 0 – 39,999.99",tier_1,,,fxRatesSgd,2026-08-14T07:00:15,2026-08-14T07:00:15,2026-08-15T17:52:05.312655+00:00,0.9375,0.9043,,0.9209
native,ocbc,CAD,SGD,CAD/SGD,1,"SGD 40,000 – 100,000",tier_2,,,fxRatesSgd,2026-08-14T07:00:15,2026-08-14T07:00:15,2026-08-15T17:52:05.312655+00:00,0.9357,0.9061,,0.9209
native,ocbc,CHF,SGD,CHF/SGD,100,"SGD 0 – 39,999.99",tier_1,,,fxRatesSgd,2026-08-14T07:00:15,2026-08-14T07:00:15,2026-08-15T17:52:05.312655+00:00,160.1568,154.4651,,157.311
native,ocbc,CHF,SGD,CHF/SGD,100,"SGD 40,000 – 100,000",tier_2,,,fxRatesSgd,2026-08-14T07:00:15,2026-08-14T07:00:15,2026-08-15T17:52:05.312655+00:00,159.8421,154.7797,,157.311
native,ocbc,CNH,SGD,CNH/SGD,100,"SGD 0 – 39,999.99",tier_1,,,fxRatesSgd,2026-08-14T07:00:15,2026-08-14T07:00:15,2026-08-15T17:52:05.312655+00:00,19.2993,18.738,,19.0187
native,ocbc,CNH,SGD,CNH/SGD,100,"SGD 40,000 – 100,000",tier_2,,,fxRatesSgd,2026-08-14T07:00:15,2026-08-14T07:00:15,2026-08-15T17:52:05.312655+00:00,19.2898,18.7569,,19.0187
native,ocbc,CZK,SGD,CZK/SGD,100,"SGD 0 – 39,999.99",tier_1,,,fxRatesSgd,2026-08-14T07:00:15,2026-08-14T07:00:15,2026-08-15T17:52:05.312655+00:00,0.0,0.0,,0.0
native,ocbc,CZK,SGD,CZK/SGD,100,"SGD 40,000 – 100,000",tier_2,,,fxRatesSgd,2026-08-14T07:00:15,2026-08-14T07:00:15,2026-08-15T17:52:05.312655+00:00,0.0,0.0,,0.0
native,ocbc,DKK,SGD,DKK/SGD,100,"SGD 0 – 39,999.99",tier_1,,,fxRatesSgd,2026-08-14T07:00:15,2026-08-14T07:00:15,2026-08-15T17:52:05.312655+00:00,20.1276,19.4134,,19.7705
native,ocbc,DKK,SGD,DKK/SGD,100,"SGD 40,000 – 100,000",tier_2,,,fxRatesSgd,2026-08-14T07:00:15,2026-08-14T07:00:15,2026-08-15T17:52:05.312655+00:00,20.0881,19.453,,19.7705
native,ocbc,EUR,SGD,EUR/SGD,1,"SGD 0 – 39,999.99",tier_1,,,fxRatesSgd,2026-08-14T07:00:15,2026-08-14T07:00:15,2026-08-15T17:52:05.312655+00:00,1.4946,1.4579,,1.4763
native,ocbc,EUR,SGD,EUR/SGD,1,"SGD 40,000 – 100,000",tier_2,,,fxRatesSgd,2026-08-14T07:00:15,2026-08-14T07:00:15,2026-08-15T17:52:05.312655+00:00,1.4929,1.4598,,1.4763
native,ocbc,GBP,SGD,GBP/SGD,1,"SGD 0 – 39,999.99",tier_1,,,fxRatesSgd,2026-08-14T07:00:15,2026-08-14T07:00:15,2026-08-15T17:52:05.312655+00:00,1.7496,1.7064,,1.728
native,ocbc,GBP,SGD,GBP/SGD,1,"SGD 40,000 – 100,000",tier_2,,,fxRatesSgd,2026-08-14T07:00:15,2026-08-14T07:00:15,2026-08-15T17:52:05.312655+00:00,1.7477,1.7085,,1.728
native,ocbc,HKD,SGD,HKD/SGD,100,"SGD 0 – 39,999.99",tier_1,,,fxRatesSgd,2026-08-14T07:00:15,2026-08-14T07:00:15,2026-08-15T17:52:05.312655+00:00,16.5079,16.1088,,16.3084
native,ocbc,HKD,SGD,HKD/SGD,100,"SGD 40,000 – 100,000",tier_2,,,fxRatesSgd,2026-08-14T07:00:15,2026-08-14T07:00:15,2026-08-15T17:52:05.312655+00:00,16.4785,16.1186,,16.3084
